product_id,name,cleaned_name,price,brand,category,subcategory,volume_weight,is_multipack,product_type,url,image_url,slug,allergens,certifications,ingredients,country_of_origin,storage_advice,allergy_warning,description
N/A,DIAMOND FOODS FROZEN KING FISH (BULK) 15KG,Diamond Foods Frozen King Fish (bulk),,King,GENERAL GROCERIES,RESTAURANT PACKS,15kg,False,single,https://www.lakshmiwholesale.com/products/diamond-foods-king-fish-bulk-15kg,//www.lakshmiwholesale.com/cdn/shop/files/image_2e61fc76-23df-42e4-b5da-2fbdc09c28ac.webp?v=1749643250,diamond-foods-frozen-king-fish-bulk,"nuts, soy, milk, peanuts, fish",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","DIAMOND FOODS FROZEN KING FISH (BULK) 15KG
Discover the exceptional taste and quality of DIAMOND FOODS FROZEN KING FISH (BULK) 15KG, now available for wholesale through Lakshmi Wholesale in the UK. Perfect for restaurants, catering services, or home chefs looking to stock up on premium seafood, this bulk option provides incredible value without compromising on quality.
Sourced from sustainable fisheries, DIAMOND FOODS FROZEN KING FISH is renowned for its rich flavor and firm texture, making it a"
N/A,SRI DURGA MUSTARD SEEDS BLACK SMALL 1KG,Sri Durga Mustard Seeds Black Small,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-mustard-seeds-black-small-1kg,//www.lakshmiwholesale.com/cdn/shop/files/Mustard-Black-Seeds.jpg?v=1749642724,sri-durga-mustard-seeds-black-small,"nuts, mustard, soy, milk, peanuts",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA MUSTARD SEEDS BLACK SMALL 1KG
SRI DURGA MUSTARD SEEDS BLACK SMALL 1KG is a premium-quality spice, widely used in Indian cuisine for its distinctive flavor and aroma. These black mustard seeds are essential for tempering and add a delightful kick to curries, dals, and pickles. Their sharp, slightly bitter taste enhances the overall depth of dishes, making them a must-have for every kitchen.
Black mustard seeds are known for their numerous health benefits, including aiding digestion, imp"
N/A,SRI DURGA CINNAMON STICKS 2KG,Sri Durga Cinnamon Sticks,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,2kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-cinnamon-sticks-2-kg-online,//www.lakshmiwholesale.com/cdn/shop/files/cinnamonsticks.jpg?v=1749643148,sri-durga-cinnamon-sticks,"soy, milk, nuts, peanuts",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA CINNAMON STICKS 2KG
Introducing **SRI DURGA CINNAMON STICKS 2KG**, now available in bulk from **Lakshmi Wholesale** in the UK! Sourced for their premium quality and rich aroma, these cinnamon sticks are perfect for adding a touch of authentic flavor to both sweet and savory dishes. Whether you're running a restaurant, catering service, or simply stocking up for retail, these **2 KG packs** offer exceptional value.
Ideal for creating Indian and global cuisines, these cinnamon sticks bri"
N/A,RESTAURANT PACK URID DHAL 25KG,Restaurant Urid Dhal,,Restaurant,GENERAL GROCERIES,RESTAURANT PACKS,25kg,False,single,https://www.lakshmiwholesale.com/products/restaurant-pack-urid-dhal-20kg,//www.lakshmiwholesale.com/cdn/shop/files/Urad-dhal-1.webp?v=1749643051,restaurant-urid-dhal,,,"is commonly used in a variety of recipes, including dals, curries, and lentil soups, as well as for making popular dishes like dosa and idli",,,,"RESTAURANT PACK URID DHAL 25KG
Restaurant Pack Urid Dhal 25kg is a premium-quality legume essential for creating authentic Indian dishes. Known for its distinctive black skin and creamy white interior, urid dhal (also spelled urad dal) is rich in protein, fiber, and essential nutrients, making it a nutritious choice for any menu. This versatile ingredient is commonly used in a variety of recipes, including dals, curries, and lentil soups, as well as for making popular dishes like dosa and idli.
"
N/A,SRI DURGA KALPASI (DAGAR NA PHOOL) 1KG,Sri Durga Kalpasi (dagar Na Phool),,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-kalpasi-dagar-na-phool-1kg,//www.lakshmiwholesale.com/cdn/shop/files/dagarnaphool.jpg?v=1749643154,sri-durga-kalpasi-dagar-na-phool,"soy, milk, nuts, peanuts",,in Indian kitchens,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA KALPASI (DAGAR NA PHOOL) 1KG
Discover the authentic and aromatic SRI DURGA KALPASI (DAGAR NA PHOOL) 1KG, available in bulk at Lakshmi Wholesale. Kalpasi, also known as Dagar Na Phool or Black Stone Flower, is a prized spice used in traditional Indian cuisine, especially in the preparation of flavorful dishes such as biryani, korma, and various gravies. This unique spice is known for its earthy aroma and subtle flavor, making it a must-have ingredient in Indian kitchens.
At Lakshmi Whol"
N/A,DIAMOND FOODS FROZEN ANCHOVY BULK 12KG,Diamond Foods Frozen Anchovy Bulk,,Diamond,GENERAL GROCERIES,RESTAURANT PACKS,12kg,False,single,https://www.lakshmiwholesale.com/products/diamond-foods-anchovy-bulk-12-kg,//www.lakshmiwholesale.com/cdn/shop/files/kozhuva-frozen-whitepepper-kerala-store-uk-v3.webp?v=1749643251,diamond-foods-frozen-anchovy-bulk,"nuts, soy, milk, peanuts, fish",,that cater to your cooking needs,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","DIAMOND FOODS FROZEN ANCHOVY BULK 12 KG
Discover the premium quality Diamond Foods Frozen Anchovy Bulk 12 KG, now available for wholesale at Lakshmi Wholesale in the UK. This exceptional product is perfect for restaurants, catering services, and large families who appreciate the rich flavors of fresh anchovies in their dishes.
These frozen anchovies are sourced from the best fishing grounds, ensuring that you receive only the finest quality fish. Anchovies are packed with essential nutrients, ma"
N/A,SRI DURGA BAY LEAF 1KG,Sri Durga Bay Leaf,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-bay-leaf-1kg,//www.lakshmiwholesale.com/cdn/shop/files/loose-bay-leaf-500x500_5b9e2fa6-ee89-4d5f-8444-97e69593f2c7.webp?v=1749643155,sri-durga-bay-leaf,"soy, milk, nuts, peanuts",,"in many Indian dishes, including biryanis, curries, and soups",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA BAY LEAF 1KG
Introducing SRI DURGA BAY LEAF 1KG, now available for bulk purchase at Lakshmi Wholesale, your trusted source for Indian wholesale groceries online in the UK. Bay leaves, known for their aromatic fragrance and subtle flavour, are a key ingredient in many Indian dishes, including biryanis, curries, and soups. Sourced from the finest regions, SRI DURGA BAY LEAF ensures superior quality, adding a touch of authenticity to your culinary creations.
Ideal for restaurants, caterer"
N/A,SRI DURGA CORIANDER SEEDS 2KG,Sri Durga Coriander Seeds,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,2kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-coriander-seeds-3kg,//www.lakshmiwholesale.com/cdn/shop/files/coriander-seed-whole.webp?v=1749643156,sri-durga-coriander-seeds,"soy, milk, nuts, peanuts",,in Indian cooking,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA CORIANDER SEEDS 2KG
Introducing
SRI DURGA CORIANDER SEEDS 2KG
, a premium spice staple in Indian cuisine, now available in bulk through Lakshmi Wholesale. Perfect for adding aromatic flavor to a wide range of dishes, these coriander seeds are sourced for their superior quality and freshness, ensuring an authentic taste in every recipe. Whether you're a restaurant, caterer, or food retailer, buying coriander seeds in bulk is a practical and economical choice for maintaining a well-stock"
N/A,SRI DURGA BLACK PEPPER WHOLE 1KG,Sri Durga Black Pepper Whole,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-black-pepper-whole-1kg-only-for-store-shopping,//www.lakshmiwholesale.com/cdn/shop/files/Black-Pepper.jpg?v=1749643265,sri-durga-black-pepper-whole,"soy, milk, nuts, peanuts",,ensures that your dishes will always be full of rich flavors and aromas,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA BLACK PEPPER WHOLE 1KG
SRI DURGA BLACK PEPPER WHOLE 1KG is a premium quality spice that adds a bold flavor to various dishes, making it a staple in Indian cuisine. Sourced from the finest peppercorns, this whole black pepper is known for its robust taste and aromatic profile, perfect for seasoning and enhancing the flavors of your favorite recipes. Whether you're preparing curries, soups, or grilled meats, SRI DURGA BLACK PEPPER provides the ideal kick that elevates your culinary creat"
N/A,RESTAURANT PACK MOONG DHAL (YELLOW) 25KG,Restaurant Moong Dhal (yellow),,Restaurant,GENERAL GROCERIES,RESTAURANT PACKS,25kg,False,single,https://www.lakshmiwholesale.com/products/restaurant-pack-moong-dhal-yellow-25kg,//www.lakshmiwholesale.com/cdn/shop/files/Untitleddesign_15_481d13bc-8809-4fbe-9370-ae3d3cead82d.png?v=1749643258,restaurant-moong-dhal-yellow,"soy, milk, nuts, peanuts",,in Indian cuisine,,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","RESTAURANT PACK MOONG DHAL (YELLOW) 25KG
Discover the exceptional quality of RESTAURANT PACK MOONG DHAL (YELLOW) 25KG, now available for wholesale at Lakshmi Wholesale in the UK. Perfect for restaurants, catering services, or large families, this bulk pack of moong dal offers unmatched convenience and value.
Moong dal, or yellow split mung beans, is a staple ingredient in Indian cuisine. Known for its delicate flavor and easy digestibility, it is rich in protein, fiber, and essential nutrients, "
N/A,SRI DURGA CORIANDER POWDER 1KG,Sri Durga Coriander Powder,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-coriander-powder-1kg,//www.lakshmiwholesale.com/cdn/shop/files/SRI_DURGA_CORIANDER_POWDER_1KG.jpg?v=1749643153,sri-durga-coriander-powder,"soy, milk, nuts, peanuts",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA CORIANDER POWDER 1KG
**SRI DURGA CORIANDER POWDER 1KG – Wholesale by Lakshmi Wholesale in the UK**
Discover the aromatic essence of **Sri Durga Coriander Powder 1KG**, now available for wholesale purchase at Lakshmi Wholesale. A staple in Indian cuisine, coriander powder is celebrated for its warm, nutty flavor and is a must-have in any kitchen, whether for home cooking or professional culinary use.
Crafted from the finest coriander seeds, Sri Durga Coriander Powder is carefully ground"
N/A,SRI DURGA STAR ANISEED 1KG,Sri Durga Star Aniseed,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-star-aniseed-1kg,//www.lakshmiwholesale.com/cdn/shop/files/star-anise-250x250.webp?v=1749643155,sri-durga-star-aniseed,"soy, milk, nuts, peanuts",,"for restaurants, catering services, and Indian grocery stores",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA STAR ANISEED 1KG
Looking for premium quality spices for your business? Discover
SRI DURGA STAR ANISEED 1KG
, available in bulk from
Lakshmi Wholesale UK
. Known for its unique star shape and robust aroma, star anise is a staple in many Indian dishes and international cuisines. It adds a deep, rich flavor to curries, biryanis, and traditional masalas, making it an essential ingredient for restaurants, catering services, and Indian grocery stores.
Lakshmi Wholesale is your trusted source"
N/A,SRI DURGA MADRAS CURRY POWDER 1KG,Sri Durga Madras Curry Powder,,SRI DURGA,GENERAL GROCERIES,RESTAURANT PACKS,1kg,False,single,https://www.lakshmiwholesale.com/products/sri-durga-madras-curry-powder-1kg,//www.lakshmiwholesale.com/cdn/shop/files/Mild-Curry-Powder.jpg?v=1749643151,sri-durga-madras-curry-powder,"soy, milk, nuts, peanuts",vegetarian,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","SRI DURGA MADRAS CURRY POWDER 1KG
Discover the authentic flavors of South Indian cuisine with **SRI DURGA MADRAS CURRY POWDER 1KG**, available at **Lakshmi Wholesale** in the UK. This premium curry powder is crafted with a unique blend of high-quality spices, delivering an aromatic and flavorful seasoning that enhances a variety of dishes. Perfect for preparing traditional **Madras-style curries**, this spice mix is a staple in Indian kitchens, offering a balance of heat and flavor that’s ideal "
N/A,DP COOKING SALT 12.5KG,Dp Cooking Salt,,King,GENERAL GROCERIES,RESTAURANT PACKS,12.5kg,False,single,https://www.lakshmiwholesale.com/products/dp-cooking-salt-12-5kg,//www.lakshmiwholesale.com/cdn/shop/files/WhatsAppImage2025-11-06at18.02.56_99bd30a1.jpg?v=1762452291,dp-cooking-salt,,,,,,,"DP COOKING SALT 12.5KG
DP Cooking Salt 12.5KG
is a high-quality, refined salt ideal for everyday cooking in homes, restaurants, and catering services. This essential kitchen staple enhances the flavor of your dishes, making it perfect for Indian cuisine, where balanced seasoning is key to authentic taste.
Manufactured under strict quality standards,
DP Cooking Salt 12.5KG
delivers purity and consistency, ensuring your meals are both delicious and healthy. Whether you're preparing traditional cur"
N/A,UDHAIYAM TOOR DAL 5KG,Udhaiyam Toor Dal,,Udhaiyam,LENTILS & PULSES,TOOR DHAL,5kg,False,single,https://www.lakshmiwholesale.com/products/udhaiyam-toor-dhal,//www.lakshmiwholesale.com/cdn/shop/products/UDHAYAM-TOOR-DHALL-2KG_3b9ce3b2-d112-4912-bcee-53e1e9b24b0a-4.jpg?v=1749643171,udhaiyam-toor-dal,"soy, milk, nuts, peanuts",vegetarian,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","UDHAIYAM TOOR DAL 5KG
Udhaiyam Toor Dal is a premium quality lentil, widely used in Indian households to prepare various traditional dishes like sambar, dal fry, and soups. Sourced from the finest crops, Udhaiyam Toor Dal is known for its rich flavor, high nutritional value, and quick cooking properties. It’s an excellent source of protein, dietary fiber, and essential vitamins, making it a staple in vegetarian diets.
For those looking to purchase
Indian wholesale groceries online in the UK
, La"
N/A,UDHAIYAM TOOR DHAL 1KG,Udhaiyam Toor Dhal,,Udhaiyam,LENTILS & PULSES,TOOR DHAL,1kg,False,single,https://www.lakshmiwholesale.com/products/udhaiyam-toor-dhal-1kg,//www.lakshmiwholesale.com/cdn/shop/files/UDHAYAM-TOOR-DHALL-2KG_3b9ce3b2-d112-4912-bcee-53e1e9b24b0a-4.jpg?v=1749642622,udhaiyam-toor-dhal,"soy, milk, nuts, peanuts",,"traces of nuts, milk, soy, and peanuts",,"Store in a cool, dry place, away from direct sunlight.","Due to shared processing equipment, it may contain traces of nuts, milk, soy, and peanuts.","UDHAIYAM TOOR DHAL 1KG
UDHAIYAM TOOR DHAL 1KG is a premium-quality lentil widely used in Indian cuisine for its rich flavor and nutritional benefits. Essential for creating hearty dishes like sambhar, dal fry, and rasam, this protein-packed pulse is a staple in every Indian kitchen. Its natural taste, excellent texture, and purity make it the top choice for households and restaurants alike. Packed with dietary fiber, protein, and essential nutrients, UDHAIYAM TOOR DHAL supports a healthy and bal"
